t_ms,path_len_m,est_x_in,est_y_in,est_theta_deg,est_lat_in,mpc_x_m,mpc_y_m,mpc_th_rad,mpc_vy_mps,mpc_s_m,s_proj_m,s_err_clamped_m,s_after_int_m,u_v_mps,u_w_rads,u_vs_mps,solve_status,solve_ms,sqp_iter,kkt,ref_x_m,ref_y_m,ref_th_rad,meas_v_ins,meas_w_rads,cmd_v_mps,cmd_w_rads
2635,1.398873,-38.6069,12.4758,88.8177,0.0000,-0.977030,0.316987,1.542286,0.000000,0.256252,0.256252,0.000000,0.256252,1.112454,-1.284120,1.200000,0,1.0000,1,0.000000,-0.892429,0.417312,1.280355,14.120139,-0.787475,1.112454,-1.284120
2645,1.398873,-38.4659,12.4794,88.2589,0.0000,-0.973449,0.317113,1.532447,0.000000,0.257126,0.257126,0.000000,0.257126,1.116692,-1.255107,1.200000,0,1.0000,1,0.000000,-0.891592,0.417562,1.279965,14.120813,-0.796230,1.116692,-1.255107
2655,1.398873,-38.3248,12.4843,87.7022,0.0000,-0.969867,0.317275,1.522578,0.000000,0.264994,0.264994,0.000000,0.264994,1.121153,-1.224559,1.200000,0,1.0000,1,0.000000,-0.884058,0.419832,1.276388,14.121389,-0.811429,1.121153,-1.224559
2665,1.398873,-38.1840,12.4907,87.1501,0.0000,-0.966292,0.317471,1.512843,0.000000,0.267748,0.267748,0.000000,0.267748,1.125426,-1.195301,1.200000,0,1.0000,1,0.000000,-0.881423,0.420633,1.275107,14.121880,-0.821387,1.125426,-1.195301
2675,1.398873,-38.0432,12.4983,86.6054,0.0000,-0.962718,0.317699,1.503399,0.000000,0.268712,0.268712,0.000000,0.268712,1.129386,-1.168190,1.200000,0,1.0000,1,0.000000,-0.880501,0.420914,1.274655,14.122299,-0.815155,1.129386,-1.168190
2685,1.398873,-37.9024,12.5073,86.0756,0.0000,-0.959145,0.317958,1.494922,0.000000,0.276736,0.276736,0.000000,0.276736,1.133520,-1.139885,1.200000,0,1.0000,1,0.000000,-0.872831,0.423270,1.270819,14.122656,-0.738057,1.133520,-1.139885
2695,1.398873,-37.7618,12.5176,85.5674,0.0000,-0.955575,0.318251,1.486220,0.000000,0.279625,0.279625,0.000000,0.279625,1.137458,-1.112919,1.200000,0,1.0000,1,0.000000,-0.870072,0.424126,1.269406,14.122962,-0.721307,1.137458,-1.112919
2705,1.398873,-37.6212,12.5292,85.0578,0.0000,-0.952006,0.318576,1.477286,0.000000,0.280665,0.280665,0.000000,0.280665,1.141098,-1.088000,1.200000,0,1.0000,1,0.000000,-0.869079,0.424435,1.268893,14.123222,-0.725395,1.141098,-1.088000
2715,1.398873,-37.4808,12.5419,84.5653,0.0000,-0.948443,0.318930,1.468614,0.000000,0.288846,0.288846,0.000000,0.288846,1.144909,-1.061901,1.200000,0,1.0000,1,0.000000,-0.861272,0.426883,1.264781,14.123445,-0.732816,1.144909,-1.061901
2725,1.398873,-37.3404,12.5558,84.1171,0.0000,-0.944880,0.319312,1.460761,0.000000,0.291873,0.291873,0.000000,0.291873,1.148525,-1.037146,1.200000,0,1.0000,1,0.000000,-0.858387,0.427797,1.263225,14.123634,-0.735804,1.148525,-1.037146
2735,1.398873,-37.2002,12.5708,83.6937,0.0000,-0.941322,0.319717,1.453689,0.000000,0.292993,0.292993,0.000000,0.292993,1.151823,-1.014564,1.200000,0,1.0000,1,0.000000,-0.857319,0.428137,1.262644,14.123796,-0.704094,1.151823,-1.014564
2745,1.398873,-37.0600,12.5868,83.2744,0.0000,-0.937764,0.320148,1.446804,0.000000,0.293407,0.293407,0.000000,0.293407,1.154781,-0.994311,1.200000,0,1.0000,1,0.000000,-0.856925,0.428262,1.262428,14.123935,-0.660879,1.154781,-0.994311
2755,1.398873,-36.9200,12.6038,82.8624,0.0000,-0.934212,0.320605,1.439908,0.000000,0.301495,0.301495,0.000000,0.301495,1.157878,-0.973104,1.200000,0,1.0000,1,0.000000,-0.849224,0.430733,1.258150,14.124053,-0.631285,1.157878,-0.973104
2765,1.398873,-36.7802,12.6218,82.4671,0.0000,-0.930663,0.321086,1.433245,0.000000,0.304568,0.304568,0.000000,0.304568,1.160800,-0.953101,1.200000,0,1.0000,1,0.000000,-0.846301,0.431681,1.256489,14.124153,-0.607765,1.160800,-0.953101
2775,1.398873,-36.6404,12.6408,82.0805,0.0000,-0.927117,0.321592,1.426510,0.000000,0.305736,0.305736,0.000000,0.305736,1.163454,-0.934929,1.200000,0,1.0000,1,0.000000,-0.845190,0.432042,1.255852,14.124239,-0.606520,1.163454,-0.934929
2785,1.398873,-36.5008,12.6607,81.7017,0.0000,-0.923573,0.322117,1.420681,0.000000,0.306180,0.306180,0.000000,0.306180,1.165799,-0.918871,1.200000,0,1.0000,1,0.000000,-0.844768,0.432180,1.255609,14.124313,-0.528372,1.165799,-0.918871
2795,1.398873,-36.3612,12.6815,81.3252,0.0000,-0.920030,0.322668,1.414615,0.000000,0.314410,0.314410,0.000000,0.314410,1.168293,-0.901794,1.200000,0,1.0000,1,0.000000,-0.836949,0.434749,1.251032,14.124375,-0.477636,1.168293,-0.901794
2805,1.398873,-36.2219,12.7032,80.9654,0.0000,-0.916495,0.323240,1.408846,0.000000,0.317620,0.317620,0.000000,0.317620,1.170640,-0.885724,1.200000,0,1.0000,1,0.000000,-0.833903,0.435761,1.249208,14.124429,-0.426563,1.170640,-0.885724
2815,1.398873,-36.0826,12.7258,80.6093,0.0000,-0.912962,0.323836,1.402256,0.000000,0.318872,0.318872,0.000000,0.318872,1.172768,-0.871151,1.200000,0,1.0000,1,0.000000,-0.832715,0.436157,1.248490,14.124475,-0.464246,1.172768,-0.871151
2825,1.398873,-35.9436,12.7492,80.2638,0.0000,-0.909436,0.324455,1.395431,0.000000,0.327549,0.327549,0.000000,0.327549,1.175077,-0.855341,1.200000,0,1.0000,1,0.000000,-0.824492,0.438926,1.243423,14.124513,-0.543547,1.175077,-0.855341
2835,1.398873,-35.8047,12.7735,79.9278,0.0000,-0.905911,0.325092,1.389753,0.000000,0.331019,0.331019,0.000000,0.331019,1.177259,-0.840404,1.200000,0,1.0000,1,0.000000,-0.821207,0.440046,1.241350,14.124547,-0.525100,1.177259,-0.840404
2845,1.398873,-35.6658,12.7985,79.5980,0.0000,-0.902387,0.325750,1.383752,0.000000,0.332408,0.332408,0.000000,0.332408,1.179230,-0.826907,1.200000,0,1.0000,1,0.000000,-0.819893,0.440495,1.240513,14.124575,-0.549477,1.179230,-0.826907
2855,1.398873,-35.5272,12.8244,79.2688,0.0000,-0.898869,0.326427,1.378006,0.000000,0.332963,0.332963,0.000000,0.332963,1.180963,-0.815046,1.200000,0,1.0000,1,0.000000,-0.819368,0.440676,1.240178,14.124599,-0.549527,1.180963,-0.815046
2865,1.398873,-35.3886,12.8511,78.9358,0.0000,-0.895352,0.327124,1.372548,0.000000,0.333185,0.333185,0.000000,0.333185,1.182452,-0.804849,1.200000,0,1.0000,1,0.000000,-0.819158,0.440748,1.240043,14.124620,-0.514136,1.182452,-0.804849
2875,1.398873,-35.2502,12.8785,78.6091,0.0000,-0.891841,0.327842,1.366899,0.000000,0.341606,0.341606,0.000000,0.341606,1.184117,-0.793448,1.200000,0,1.0000,1,0.000000,-0.811201,0.443503,1.234863,14.124638,-0.508790,1.184117,-0.793448
2885,1.398873,-35.1120,12.9068,78.2879,0.0000,-0.888336,0.328578,1.361397,0.000000,0.345058,0.345058,0.000000,0.345058,1.185700,-0.782608,1.200000,0,1.0000,1,0.000000,-0.807942,0.444644,1.232693,14.124653,-0.498425,1.185700,-0.782608
2895,1.398873,-34.9739,12.9358,77.9683,0.0000,-0.884832,0.329332,1.356780,0.000000,0.346474,0.346474,0.000000,0.346474,1.187095,-0.773059,1.200000,0,1.0000,1,0.000000,-0.806607,0.445115,1.231796,14.124665,-0.402267,1.187095,-0.773059
2905,1.398873,-34.8361,12.9656,77.6541,0.0000,-0.881337,0.330109,1.350826,0.000000,0.347054,0.347054,0.000000,0.347054,1.188308,-0.764753,1.200000,0,1.0000,1,0.000000,-0.806060,0.445308,1.231427,14.124676,-0.449448,1.188308,-0.764753
2915,1.398873,-34.6984,12.9961,77.3374,0.0000,-0.877844,0.330906,1.344669,0.000000,0.355763,0.355763,0.000000,0.355763,1.189728,-0.755032,1.200000,0,1.0000,1,0.000000,-0.797856,0.448230,1.225796,14.124686,-0.512385,1.189728,-0.755032
2925,1.398873,-34.5609,13.0274,77.0216,0.0000,-0.874355,0.331719,1.339420,0.000000,0.359420,0.359420,0.000000,0.359420,1.191086,-0.745728,1.200000,0,1.0000,1,0.000000,-0.794416,0.449471,1.223379,14.124694,-0.486014,1.191086,-0.745728
2935,1.398873,-34.4235,13.0595,76.7052,0.0000,-0.870871,0.332554,1.333587,0.000000,0.360957,0.360957,0.000000,0.360957,1.192310,-0.737348,1.200000,0,1.0000,1,0.000000,-0.792972,0.449995,1.222355,14.124701,-0.517234,1.192310,-0.737348
2945,1.398873,-34.2863,13.0923,76.4009,0.0000,-0.867388,0.333404,1.328825,0.000000,0.361602,0.361602,0.000000,0.361602,1.193348,-0.730243,1.200000,0,1.0000,1,0.000000,-0.792365,0.450215,1.221923,14.124706,-0.462170,1.193348,-0.730243
2955,1.398873,-34.1492,13.1259,76.0882,0.0000,-0.863911,0.334273,1.324129,0.000000,0.370489,0.370489,0.000000,0.370489,1.194566,-0.721900,1.200000,0,1.0000,1,0.000000,-0.784023,0.453278,1.215879,14.124711,-0.386020,1.194566,-0.721900
